annotators,image file,Human nGaussians,Human median (number),Human median (draw),Ground Truth nGaussians,Ground Truth Median,Ground Truth nBars,LLM Median,LLM Median Mini,LLM nGaussians (int),LLM nGaussians (int) Mini
annotator1,id_0041.jpeg,1,0.055,0.0552691303305996,1,0.0544278544352981,50,0.055,0.05,1,1
annotator1,id_0014.jpeg,3,0.45,0.4574720348116822,1,0.4788105173343701,50,0.49,0.485,1,1
annotator1,id_0028.jpeg,2,-0.42,-0.4158628900153125,2,-0.4173022022375116,45,-0.43,-0.42,1,1
annotator1,id_0057.jpeg,2,-0.7,-0.7072832902742185,2,-0.758364185226362,50,-0.6,-0.6,2,2
annotator1,id_0020.jpeg,1,-0.2,-0.1714275362659401,1,-0.1780068550332232,50,0.0,-0.06,1,1
annotator1,id_0023.jpeg,2,0.8,0.8020354951857875,2,0.8020903968710063,60,0.8,0.8,2,2
annotator1,id_0013.jpeg,1,-0.15,-0.0853783269999347,2,-0.0979157386788274,60,-0.05,-0.12,1,2
annotator1,id_0074.jpeg,2,-0.4,-0.428921746191538,2,-0.3761659351624006,45,-0.375,-0.375,2,2
annotator1,id_0017.jpeg,1,0.74,0.738278676607269,2,0.7408461286659519,45,0.75,0.743,1,1
annotator1,id_0037.jpeg,1,0.45,0.4576542179357571,2,0.4657712705373124,10,0.5,0.45,3,3
annotator1,id_0061.jpeg,2,0.7,0.6972339007820628,2,0.7049771345348418,60,0.75,0.7,2,2
annotator1,id_0079.jpeg,1,-0.01,-0.0022721770654748,2,-0.0063423798512488,45,-0.01,-0.01,1,1
annotator1,id_0026.jpeg,3,0.25,0.2121251442970975,2,0.2345622429372401,60,0.25,96.0,5,4
annotator1,id_0075.jpeg,2,-0.69,-0.6940320927911184,2,-0.6728962413501117,50,-0.7,-0.65,1,1
annotator1,id_0010.jpeg,2,0.81,0.813162258760264,2,0.8113902478758562,10,0.82,0.8,3,3
annotator1,id_0054.jpeg,2,-0.3,-0.2739741458836053,2,-0.2028024733118517,60,-0.02,-0.15,3,3
annotator1,id_0032.jpeg,2,0.05,0.0172899293056784,2,0.0506229088616116,50,105.0,0.08,3,3
annotator1,id_0021.jpeg,1,0.67,-0.6641947904594977,1,-0.6668072757428662,50,-0.69,-0.68,1,1
annotator1,id_0009.jpeg,2,0.67,0.7050055429858826,5,0.6573440286804,50,0.58,0.62,3,3
annotator1,id_0006.jpeg,3,0.2,0.2771799762323412,5,-0.2308511116802355,50,0.25,105.0,3,2
annotator1,id_0070.jpeg,2,-0.45,-0.4379364846664366,3,-0.3622085018573248,50,-0.43,-0.34,2,2
annotator1,id_0076.jpeg,1,0.21,0.226157098894619,2,0.2047389664176786,20,0.12,0.2,3,3
annotator1,id_0055.jpeg,2,-0.54,-0.5378080771698427,2,-0.5612999095943637,60,,-0.55,3,2
annotator1,id_0068.jpeg,2,0.0,-0.0355313557532337,1,-0.0219791015667036,50,,81.0,5,3
annotator1,id_0007.jpeg,2,0.22,0.2234000265220395,2,0.2411647474715203,20,,0.15,2,3
annotator1,id_0040.jpeg,2,0.05,0.0430723386289648,3,0.0461090323165982,50,0.05,0.04,3,3
annotator1,id_0043.jpeg,2,0.125,0.0944211138880978,2,0.1076896851722537,45,0.03,0.08,2,3
annotator1,id_0060.jpeg,2,-0.6,-0.5934854848525366,2,-0.5986821108346219,45,-0.625,-0.6,2,2
annotator1,id_0034.jpeg,2,0.038,0.0387591527415613,3,0.0388645455390772,50,0.04,0.0395,2,2
annotator1,id_0029.jpeg,2,-0.1,-0.1602916182944228,2,-0.1659207549630548,20,-0.23,-0.24,3,2
annotator1,id_0018.jpeg,2,-0.025,-0.0257460901732451,1,-0.0277847211650214,50,-0.01,-0.03,1,1
annotator1,id_0065.jpeg,3,-0.2,-0.2003140354599984,5,-0.2080684231464457,50,-0.2,-0.2,1,3
annotator1,id_0031.jpeg,1,-0.5,-0.4960482957598888,1,-0.4991105638428083,50,-0.56,-0.5,3,3
annotator1,id_0027.jpeg,2,0.19,0.1833570857039367,2,0.1960058539747179,20,0.2,0.15,2,2
annotator1,id_0056.jpeg,2,-0.33,-0.3309330099176764,2,-0.3341798321551385,50,-0.34,-0.33,1,3
annotator1,id_0011.jpeg,1,0.68,0.672702058963141,2,0.670999545496312,20,0.68,0.66,1,1
annotator1,id_0053.jpeg,1,-0.52,-0.525489044002805,3,-0.525414896295505,50,-0.58,-0.58,1,1
annotator1,id_0030.jpeg,2,-0.01,-0.0375257610296666,2,-0.016091899038866,10,0.0,0.01,5,3
annotator1,id_0062.jpeg,2,0.17,0.1303438374867169,2,0.138299083669354,20,0.1,0.16,2,2
annotator1,id_0004.jpeg,1,-0.67,-0.6688686101783958,1,-0.7095085056464476,50,125.0,-0.73,3,3
annotator1,id_0077.jpeg,1,-0.45,-0.4707345815446052,2,-0.4723913577551772,20,-0.44,-0.48,1,1
annotator1,id_0002.jpeg,2,0.125,0.1925136907827743,2,0.1631282028990468,10,-0.05,0.17,3,2
annotator1,id_0024.jpeg,2,-0.1,-0.1297591707780812,2,-0.2717083251709664,45,0.0,0.03,2,2
annotator1,id_0005.jpeg,1,-0.059,-0.0585047672515225,2,-0.0604164305987245,10,,-0.06,1,1
annotator1,id_0058.jpeg,2,0.16,0.1231194883851018,2,0.0976478927374045,60,0.0,0.12,2,2
annotator1,id_0044.jpeg,3,0.6,0.6039618897771337,2,0.5701574633626592,60,0.58,0.59,2,3
annotator1,id_0035.jpeg,1,0.58,0.569289853996167,1,0.5692977213084593,50,0.56,0.57,1,1
annotator1,id_0072.jpeg,2,-0.1,-0.0289606328708099,5,-0.0508427540474292,50,0.0,0.0,2,2
annotator1,id_0052.jpeg,3,0.13,0.1232984871428519,3,0.1269744356521677,50,0.16,0.11,2,3
