ids,ncluster,nbars
3,2,10
27,2,20
42,2,45
13,2,60
31,1,50
1,2,50
40,3,50
73,5,50
2,2,10
76,2,20
50,2,45
23,2,60
68,1,50
57,2,50
39,3,50
9,5,50
5,2,10
77,2,20
79,2,45
26,2,60
46,1,50
56,2,50
34,3,50
78,5,50
33,2,10
62,2,20
74,2,45
59,2,60
18,1,50
75,2,50
15,3,50
6,5,50
30,2,10
12,2,20
28,2,45
54,2,60
14,1,50
19,2,50
16,3,50
0,5,50
37,2,10
7,2,20
43,2,45
67,2,60
21,1,50
69,2,50
53,3,50
72,5,50
10,2,10
29,2,20
66,2,45
44,2,60
41,1,50
36,2,50
70,3,50
65,5,50
22,2,10
47,2,20
60,2,45
61,2,60
35,1,50
32,2,50
25,3,50
38,5,50
64,2,10
11,2,20
24,2,45
55,2,60
4,1,50
51,2,50
52,3,50
63,5,50
8,2,10
45,2,20
17,2,45
58,2,60
20,1,50
48,2,50
71,3,50
49,5,50
